"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
25, 9.853970408439640e-001, 9.428599150851370e-004, 4.677474148924184e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.064118022575206e+005, 0.000000000000000e+000, 4.256472090300822e+004, 3.170069176668741e+002, 0.000000000000000e+000, 2.624080729737459e-001, 1.925302724564292e-005, 2.042016372958816e-003, -8.852195049908419e-005, -1.751022077863986e+002, 2.161991121090290e+000, 0.000000000000000e+000
51, 9.695732593536380e-001, 1.489007263444360e-003, 4.704055885829696e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.070340996991393e+005, 0.000000000000000e+000, 4.281363987965571e+004, 3.170589553537678e+002, 0.000000000000000e+000, 2.796627317286871e-001, 1.925542371990026e-005, 1.661427725770639e-003, -3.739568631075993e-005, -7.559980008808432e+001, 1.954829849732564e+000, 0.000000000000000e+000
77, 9.526804089546200e-001, 1.679251203313470e-003, 4.724344800091221e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.075152030561525e+005, 0.000000000000000e+000, 4.300608122246099e+004, 3.171163467000970e+002, 0.000000000000000e+000, 2.930024527301521e-001, 1.925806651898034e-005, 1.457940374394498e-003, -9.411265907508237e-007, -4.390397331112194e+001, 1.834731982077757e+000, 0.000000000000000e+000
103, 9.349957108497620e-001, 1.511327689513560e-003, 4.728258076331862e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.076154191619928e+005, 0.000000000000000e+000, 4.304616766479711e+004, 3.171492328227455e+002, 0.000000000000000e+000, 2.957811797381331e-001, 1.925958077686383e-005, 1.345492525863682e-003, 2.838548206362141e-005, -3.199295172101990e+001, 1.763322789577025e+000, 0.000000000000000e+000
129, 9.168222546577450e-001, 9.227616828866300e-004, 4.722994519292378e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.074990885333884e+005, 0.000000000000000e+000, 4.299963541335534e+004, 3.171594652851903e+002, 0.000000000000000e+000, 2.925556397229019e-001, 1.926005191985426e-005, 1.284102016102779e-003, 5.265905374098739e-005, -2.765035447054409e+001, 1.722189921154970e+000, 0.000000000000000e+000
155, 8.983380794525150e-001, 8.054462341533510e-006, 4.712294962440949e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.072534633676867e+005, 0.000000000000000e+000, 4.290138534707468e+004, 3.171532708849842e+002, 0.000000000000000e+000, 2.857451048687275e-001, 1.925976670609783e-005, 1.252988762013163e-003, 7.201921235574032e-005, -2.642258573500798e+001, 1.699857720685531e+000, 0.000000000000000e+000
181, 8.797067403793331e-001, -1.210561604239050e-003, 4.695091663792300e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.068551683994953e+005, 0.000000000000000e+000, 4.274206735979812e+004, 3.171332616190624e+002, 0.000000000000000e+000, 2.747014410187272e-001, 1.925884538453815e-005, 1.245000244033848e-003, 8.987633961494481e-005, -2.661569397553646e+001, 1.691600968675324e+000, 0.000000000000000e+000
207, 8.610174655914310e-001, -2.686113817617300e-003, 4.676012792177155e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.064117497746683e+005, 0.000000000000000e+000, 4.256469990986730e+004, 3.171058328961543e+002, 0.000000000000000e+000, 2.624066177633492e-001, 1.925758238926768e-005, 1.250038293658582e-003, 1.049653618657703e-004, -2.782241809576736e+001, 1.692062303598373e+000, 0.000000000000000e+000
233, 8.422674536705020e-001, -4.354327917099000e-003, 4.654496250543909e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.059107703121913e+005, 0.000000000000000e+000, 4.236430812487652e+004, 3.170719171885569e+002, 0.000000000000000e+000, 2.485157850358551e-001, 1.925602061671013e-005, 1.262470565274888e-003, 1.190728962665715e-004, -2.920981368161549e+001, 1.697198249398557e+000, 0.000000000000000e+000
259, 8.235722184181210e-001, -6.217850837856530e-003, 4.628225292684019e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.052990643024847e+005, 0.000000000000000e+000, 4.211962572099386e+004, 3.170299975038753e+002, 0.000000000000000e+000, 2.315547986169171e-001, 1.925409015768410e-005, 1.285087103617919e-003, 1.338551267644741e-004, -3.107584767260969e+001, 1.708324052476683e+000, 0.000000000000000e+000
