fold,case,AoA,Freestream_Mach,epochs_used,final_loss,final_val_loss
1,0.68__-1.0,-1.0,"Freestream_Mach    0.68
Freestream_Mach    0.68
Name: 576, dtype: float64",85,0.014202170073986053,0.012457434087991714
2,0.68__-2.0,-2.0,"Freestream_Mach    0.68
Freestream_Mach    0.68
Name: 384, dtype: float64",55,0.017370469868183136,0.015821140259504318
3,0.68__-3.0,-3.0,"Freestream_Mach    0.68
Freestream_Mach    0.68
Name: 192, dtype: float64",51,0.015863575041294098,0.013761757872998714
4,0.68__-4.0,-4.0,"Freestream_Mach    0.68
Freestream_Mach    0.68
Name: 0, dtype: float64",101,0.013137181289494038,0.01308458298444748
5,0.68__0.0,0.0,"Freestream_Mach    0.68
Freestream_Mach    0.68
Name: 768, dtype: float64",71,0.014407141134142876,0.015923023223876953
6,0.68__1.0,1.0,"Freestream_Mach    0.68
Freestream_Mach    0.68
Name: 960, dtype: float64",86,0.014202493242919445,0.014122686348855495
7,0.68__10.0,10.0,"Freestream_Mach    0.68
Freestream_Mach    0.68
Name: 2688, dtype: float64",82,0.013936836272478104,0.012064281851053238
8,0.68__11.0,11.0,"Freestream_Mach    0.68
Freestream_Mach    0.68
Name: 2880, dtype: float64",41,0.0183356124907732,0.016061408445239067
9,0.68__12.0,12.0,"Freestream_Mach    0.68
Freestream_Mach    0.68
Name: 3072, dtype: float64",56,0.016411306336522102,0.015122247859835625
10,0.68__13.0,13.0,"Freestream_Mach    0.68
Freestream_Mach    0.68
Name: 3264, dtype: float64",37,0.018028581514954567,0.017012063413858414
11,0.68__14.0,14.0,"Freestream_Mach    0.68
Freestream_Mach    0.68
Name: 3456, dtype: float64",75,0.014666974544525146,0.011615091934800148
12,0.68__15.0,15.0,"Freestream_Mach    0.68
Freestream_Mach    0.68
Name: 3648, dtype: float64",66,0.015432784333825111,0.011128121986985207
13,0.68__16.0,16.0,"Freestream_Mach    0.68
Freestream_Mach    0.68
Name: 3840, dtype: float64",60,0.01564089022576809,0.015553238801658154
