fold,case,NN_MAE,NN_RMSE,NN_R2,RF_MAE,RF_RMSE,RF_R2,RMSE_gap_NN_minus_RF,winner,AoA,Freestream_Mach
1,0.68__-1.0,0.031298158524801216,0.036670778260267226,0.9905504578299877,0.011162060798253834,0.01400175740788526,0.9986223604218799,0.022669020852381965,Random forest tuned (AoA x Mach),-1.0,0.68
2,0.68__-2.0,0.05233094626788517,0.06483729952615822,0.9758024560850621,0.012745062511117672,0.016925832369527098,0.9983509967138672,0.04791146715663112,Random forest tuned (AoA x Mach),-2.0,0.68
3,0.68__-3.0,0.04777662018340315,0.06136329638684716,0.985094531595735,0.015852031457135856,0.025168896029735516,0.9974924095989208,0.03619440035711165,Random forest tuned (AoA x Mach),-3.0,0.68
4,0.68__-4.0,0.0692396926787386,0.09499586864862294,0.977503143348457,0.03973802236262425,0.0861279727618422,0.9815072774185539,0.008867895886780747,Random forest tuned (AoA x Mach),-4.0,0.68
5,0.68__0.0,0.03124575502085708,0.038269548204080295,0.9901277674098657,0.012238408381140917,0.015729871591139945,0.9983321420354496,0.02253967661294035,Random forest tuned (AoA x Mach),0.0,0.68
6,0.68__1.0,0.025895960044086924,0.032816289918711675,0.9944494687027416,0.014075434958903602,0.019645473970194432,0.9980107900707262,0.013170815948517243,Random forest tuned (AoA x Mach),1.0,0.68
7,0.68__10.0,0.04812480006262398,0.09482872101906674,0.9835311144724846,0.04039874387671586,0.1043692380246349,0.9800506178318213,-0.009540517005568155,Neural network,10.0,0.68
8,0.68__11.0,0.06830273705671461,0.1046073616942153,0.9758083524232861,0.020283321186410356,0.05766250627427605,0.992649312176772,0.04694485541993926,Random forest tuned (AoA x Mach),11.0,0.68
9,0.68__12.0,0.038460826607768596,0.0698699331242925,0.9881723688813733,0.01580253096552364,0.04230528307570081,0.9956638297361654,0.02756465004859169,Random forest tuned (AoA x Mach),12.0,0.68
10,0.68__13.0,0.040948441583669365,0.07671416780841313,0.9850141742774184,0.013708768414604838,0.029900858826353627,0.9977233469770148,0.0468133089820595,Random forest tuned (AoA x Mach),13.0,0.68
11,0.68__14.0,0.029299133147206616,0.05469716971301766,0.9921863052343121,0.012308397234587399,0.02571082691144447,0.9982735308507031,0.02898634280157319,Random forest tuned (AoA x Mach),14.0,0.68
12,0.68__15.0,0.03168305592570728,0.05720464210982578,0.9914590243653968,0.010184293921407683,0.01772885122871073,0.9991796368792578,0.03947579088111505,Random forest tuned (AoA x Mach),15.0,0.68
13,0.68__16.0,0.030528007167319137,0.05599467419270255,0.9918731922411825,0.009195391207144658,0.014295410230196811,0.9994703124224228,0.04169926396250574,Random forest tuned (AoA x Mach),16.0,0.68
14,0.68__17.0,0.04153292670905753,0.06377843158007512,0.989688598594658,0.008823673050851185,0.013089524213491651,0.9995656720829361,0.05068890736658347,Random forest tuned (AoA x Mach),17.0,0.68
15,0.68__18.0,0.029120638481189367,0.05537079087680835,0.9923744182756484,0.00940585100123409,0.013233810773486539,0.9995644065231784,0.042136980103321814,Random forest tuned (AoA x Mach),18.0,0.68
