fold,AoA,Mach,MAE,RMSE,R2,model
1,0.0,0.68,0.2930575638345203,0.41605726550356825,-0.16684972951170218,Mean baseline
2,0.0,0.7,0.3023674148916749,0.4232203033404495,-0.14948463888795827,Mean baseline
3,0.0,0.72,0.3135835022424039,0.43202044126659817,-0.1313667962449876,Mean baseline
4,0.0,0.74,0.32746221959602057,0.4435962835149909,-0.1122506093292992,Mean baseline
5,0.0,0.76,0.3447539230186363,0.46063146650075365,-0.09347639319095946,Mean baseline
6,0.0,0.78,0.36780078019661033,0.4806998746355248,-0.07718078541627671,Mean baseline
7,1.0,0.68,0.3603259076812986,0.4555471778121379,-0.06960222072120548,Mean baseline
8,1.0,0.7,0.370552958785193,0.46481694999094353,-0.059742018025199295,Mean baseline
9,1.0,0.72,0.3825193023383094,0.4765036185047959,-0.04971043777523931,Mean baseline
10,1.0,0.74,0.3957066628629146,0.4929380340289669,-0.04054094380072093,Mean baseline
11,1.0,0.76,0.4058467398378634,0.5065651269910693,-0.03608575978300799,Mean baseline
12,1.0,0.78,0.40024558997307325,0.5048342872697998,-0.036971573130495594,Mean baseline
13,10.0,0.68,0.5813960953939948,0.7413607634400675,-0.006569211608340009,Mean baseline
14,10.0,0.7,0.5802397271888037,0.7337317508218432,-0.0060837356173850665,Mean baseline
15,10.0,0.72,0.5806503044228667,0.7277087697616083,-0.005896515644404188,Mean baseline
16,10.0,0.74,0.584558412075899,0.7249898569007294,-0.006215389249682568,Mean baseline
17,10.0,0.76,0.5883281011408844,0.7210603559174178,-0.006580841346682131,Mean baseline
18,10.0,0.78,0.594525532892888,0.7187093538867534,-0.0073736160192834355,Mean baseline
19,11.0,0.68,0.5423085703485395,0.6727792427619076,-0.0006590536097192956,Mean baseline
20,11.0,0.7,0.543771960983467,0.6690047539409083,-0.0005358111140689736,Mean baseline
21,11.0,0.72,0.5484304657459812,0.6704976030581544,-0.0005954911194321344,Mean baseline
22,11.0,0.74,0.5570836885764536,0.6779057543798586,-0.0009240009401130234,Mean baseline
23,11.0,0.76,0.5736944246620529,0.6947119874689351,-0.0020200853800287355,Mean baseline
24,11.0,0.78,0.593572545595698,0.7126975125151074,-0.003989566725517646,Mean baseline
25,12.0,0.68,0.5261307390276959,0.6425040746476345,-0.00015862415304135347,Mean baseline
26,12.0,0.7,0.5307777003085349,0.6430004585767658,-0.00015895805225030202,Mean baseline
27,12.0,0.72,0.5365866849543792,0.6449947445064128,-0.00012976286105259582,Mean baseline
28,12.0,0.74,0.5440476775378552,0.6491428970485822,-7.008941708530614e-05,Mean baseline
