MAE,RMSE,R2,fold,AoA,Mach,model
0.023945019774709475,0.030574137255177252,0.9936988889895948,1,0.0,0.68,Neural network
0.024330737687605533,0.03246871999908519,0.9932344903225974,2,0.0,0.7,Neural network
0.01996247269728203,0.024934542440672836,0.9962312472818228,3,0.0,0.72,Neural network
0.02426388153526837,0.029993202254567006,0.9949152157921374,4,0.0,0.74,Neural network
0.015545330294014706,0.025079181626289648,0.9967586276069517,5,0.0,0.76,Neural network
0.0508133591348055,0.07149757110820099,0.976170048585766,6,0.0,0.78,Neural network
0.03584899480193925,0.04536479866480906,0.9893929760235868,7,1.0,0.68,Neural network
0.02053441430981545,0.026746762694255573,0.9964910377992858,8,1.0,0.7,Neural network
0.019893019967185767,0.025733584396332738,0.9969384759519598,9,1.0,0.72,Neural network
0.025380782887729148,0.03955065962139178,0.9933014318766668,10,1.0,0.74,Neural network
0.017901643497727934,0.02651015043049499,0.9971624108722597,11,1.0,0.76,Neural network
0.04280032867171326,0.07462538596516001,0.9773409162529381,12,1.0,0.78,Neural network
0.03544275194656304,0.06648190342529653,0.9919054755715518,13,10.0,0.68,Neural network
0.041415825882378604,0.07799657026747392,0.9886313076365185,14,10.0,0.7,Neural network
0.026442438763535258,0.04859666277899738,0.9955140856289703,15,10.0,0.72,Neural network
0.017777274598379397,0.02805492781055324,0.9984932354107436,16,10.0,0.74,Neural network
0.02456351178089541,0.03479540134191372,0.9976560457908674,17,10.0,0.76,Neural network
0.026381816082006515,0.04832443180945502,0.9954457434613091,18,10.0,0.78,Neural network
0.016637656646929764,0.03081395733641568,0.9979008865301193,19,11.0,0.68,Neural network
0.015604294293377495,0.029296034043011766,0.9980813670749148,20,11.0,0.7,Neural network
0.03075190300835996,0.062035998440555115,0.9914345213873276,21,11.0,0.72,Neural network
0.013653934665785197,0.02492767597725064,0.9986466003990907,22,11.0,0.74,Neural network
0.03753312964856929,0.06377034846769467,0.9915568516192922,23,11.0,0.76,Neural network
0.019053908848526438,0.03463339073021852,0.9976291245541907,24,11.0,0.78,Neural network
0.02525906390984614,0.05012903036737995,0.9939117045408397,25,12.0,0.68,Neural network
0.025840182612701313,0.04250206181102649,0.9956301506909003,26,12.0,0.7,Neural network
0.014706421025970286,0.029981897202164525,0.9978389629075342,27,12.0,0.72,Neural network
0.016212531542322453,0.03144609294561462,0.9976531614845576,28,12.0,0.74,Neural network
0.018049252110514124,0.03396979565576046,0.9973621765304533,29,12.0,0.76,Neural network
0.0347339032125031,0.06356090634070302,0.9914147721832989,30,12.0,0.78,Neural network
0.014520885110969004,0.02862490313539042,0.9979135039330149,31,13.0,0.68,Neural network
0.012693053071802624,0.024210778778084117,0.9985077310376199,32,13.0,0.7,Neural network
0.02713690218861975,0.04487943642148257,0.9949442871964362,33,13.0,0.72,Neural network
0.024165743254040726,0.04335299838689233,0.9953934775641886,34,13.0,0.74,Neural network
0.02103794670420812,0.038958607452211365,0.9963990885773278,35,13.0,0.76,Neural network
0.02417780164299796,0.046575719827110326,0.9950645047344747,36,13.0,0.78,Neural network
0.021581119840373687,0.041794688920683463,0.995437856618718,37,14.0,0.68,Neural network
0.016303593123292798,0.026047534058122095,0.9982373908174893,38,14.0,0.7,Neural network
0.018652595725748244,0.033915314597680025,0.9970519210839617,39,14.0,0.72,Neural network
0.011966209890960306,0.024280879644493714,0.998530421727612,40,14.0,0.74,Neural network
0.015486775840610095,0.027621678319652374,0.9981665494660018,41,14.0,0.76,Neural network
0.024002286164593056,0.042196394558212606,0.9959161549134107,42,14.0,0.78,Neural network
0.0159347825806183,0.026652983187833386,0.9981458852907729,43,15.0,0.68,Neural network
