fold,AoA,Mach,epochs_used,final_loss,final_val_loss
1,0.0,0.68,120,0.002541046589612961,0.003024678910151124
2,0.0,0.7,120,0.0021389119792729616,0.0027999812737107277
3,0.0,0.72,120,0.002065898384898901,0.002544952556490898
4,0.0,0.74,120,0.002054045209661126,0.0027749217115342617
5,0.0,0.76,120,0.0018944422481581569,0.0029171740170568228
6,0.0,0.78,33,0.0061083766631782055,0.011642314493656158
7,1.0,0.68,39,0.005651146173477173,0.00960195530205965
8,1.0,0.7,120,0.0022254306823015213,0.0035573653876781464
9,1.0,0.72,87,0.0029650109354406595,0.003383958013728261
10,1.0,0.74,93,0.00256274058483541,0.0033998354338109493
11,1.0,0.76,120,0.0019228382734581828,0.0025038241874426603
12,1.0,0.78,33,0.006165578495711088,0.012814789079129696
13,10.0,0.68,61,0.0047335936687886715,0.007796186022460461
14,10.0,0.7,41,0.0070554944686591625,0.009068213403224945
15,10.0,0.72,66,0.003510917304083705,0.006529415957629681
16,10.0,0.74,120,0.0020951114129275084,0.0034238509833812714
17,10.0,0.76,86,0.002791434060782194,0.0047329324297606945
18,10.0,0.78,87,0.0033061769790947437,0.00405940180644393
19,11.0,0.68,120,0.001973208039999008,0.002628165762871504
20,11.0,0.7,120,0.0021603351924568415,0.003117044223472476
21,11.0,0.72,47,0.00505869323387742,0.007866127416491508
22,11.0,0.74,120,0.0021139865275472403,0.002951290225610137
23,11.0,0.76,48,0.004887315910309553,0.006755931302905083
24,11.0,0.78,120,0.0019805377814918756,0.003488419344648719
25,12.0,0.68,38,0.005089647602289915,0.009652340784668922
26,12.0,0.7,54,0.004664050415158272,0.007008136250078678
27,12.0,0.72,109,0.0021791725885123014,0.00322579313069582
28,12.0,0.74,118,0.002042671898379922,0.0032538999803364277
29,12.0,0.76,108,0.0026365243829786777,0.004739724565297365
30,12.0,0.78,58,0.004175882320851088,0.007008917164057493
31,13.0,0.68,120,0.0022048389073461294,0.0030808562878519297
32,13.0,0.7,120,0.002007152885198593,0.002198561327531934
33,13.0,0.72,45,0.005233963020145893,0.007587901782244444
34,13.0,0.74,56,0.0044048987329006195,0.007695336360484362
35,13.0,0.76,58,0.004236724227666855,0.006117112003266811
36,13.0,0.78,81,0.0030023748986423016,0.005381130147725344
37,14.0,0.68,56,0.004377568606287241,0.006763390731066465
38,14.0,0.7,120,0.0021790657192468643,0.002473437460139394
39,14.0,0.72,59,0.004791267216205597,0.006490067578852177
40,14.0,0.74,120,0.002037644851952791,0.002336181001737714
41,14.0,0.76,120,0.0021760393865406513,0.0035054893232882023
42,14.0,0.78,76,0.0033597596921026707,0.004922973923385143
43,15.0,0.68,106,0.0023820213973522186,0.0033431262709200382
44,15.0,0.7,65,0.0039693997241556644,0.005856899544596672
45,15.0,0.72,85,0.0031177951022982597,0.004904641304165125
46,15.0,0.74,75,0.003315939102321863,0.00423045177012682
47,15.0,0.76,98,0.002462303964421153,0.00363070797175169
48,15.0,0.78,104,0.0023862996604293585,0.0034945376683026552
49,16.0,0.68,89,0.002496435772627592,0.003992557991296053
50,16.0,0.7,77,0.003365878714248538,0.00483162235468626
51,16.0,0.72,61,0.0038476530462503433,0.005173935554921627
52,16.0,0.74,120,0.00207034545019269,0.002783093135803938
53,16.0,0.76,36,0.006977140437811613,0.00960213877260685
54,16.0,0.78,91,0.002623878652229905,0.004357583355158567
55,17.0,0.68,38,0.005403219722211361,0.008358477614820004
56,17.0,0.7,120,0.002219784539192915,0.0025100987404584885
57,17.0,0.72,120,0.002049243776127696,0.0029063732363283634
58,17.0,0.74,86,0.0030781582463532686,0.004364828113466501
59,17.0,0.76,80,0.0030694231390953064,0.00506217684596777
60,17.0,0.78,63,0.0038636408280581236,0.008202710188925266
61,18.0,0.68,120,0.002524398732930422,0.0055304476991295815
62,18.0,0.7,72,0.0034809487406164408,0.005020394921302795
63,18.0,0.72,76,0.003454929683357477,0.008251438848674297
64,18.0,0.74,114,0.0024152640253305435,0.004197212401777506
65,18.0,0.76,88,0.0030341041274368763,0.006548496428877115
66,18.0,0.78,82,0.0031450889073312283,0.004848968703299761
67,19.0,0.68,120,0.0021530180238187313,0.0034616291522979736
68,19.0,0.7,90,0.002720099641010165,0.005383288953453302
69,19.0,0.72,77,0.003606984158977866,0.005600492004305124
70,19.0,0.74,83,0.0036195849534124136,0.006051339209079742
71,19.0,0.76,28,0.008244384080171585,0.013995910063385963
72,19.0,0.78,79,0.0032013508025556803,0.005014009308069944
73,2.0,0.68,120,0.0020523304119706154,0.002127629006281495
74,2.0,0.7,90,0.0025299289263784885,0.004719443619251251
75,2.0,0.72,51,0.0045901332050561905,0.0076997773721814156
76,2.0,0.74,30,0.007448156364262104,0.013374239206314087
77,2.0,0.76,120,0.002293512225151062,0.0036252057179808617
78,2.0,0.78,91,0.0031584566459059715,0.0071142022497951984
79,20.0,0.68,120,0.0021887929178774357,0.003876756876707077
80,20.0,0.7,87,0.0030287266708910465,0.004486104939132929
81,20.0,0.72,96,0.0026664414908736944,0.003974349703639746
82,20.0,0.74,59,0.003998518455773592,0.005803922191262245
83,20.0,0.76,74,0.0033172767143696547,0.004741979762911797
84,20.0,0.78,120,0.002220984548330307,0.0031869602389633656
85,3.0,0.68,120,0.0020551930647343397,0.0030504390597343445
86,3.0,0.7,47,0.005264339968562126,0.0076820142567157745
87,3.0,0.72,33,0.00668083131313324,0.00994807854294777
88,3.0,0.74,84,0.0031228361185640097,0.005781727842986584
89,3.0,0.76,47,0.004945497494190931,0.008444549515843391
90,3.0,0.78,31,0.007712230551987886,0.012697316706180573
91,4.0,0.68,120,0.0018097899155691266,0.0026027255225926638
92,4.0,0.7,91,0.0028445448260754347,0.003350599901750684
93,4.0,0.72,36,0.007003976497799158,0.010837757028639317
94,4.0,0.74,120,0.002157202223315835,0.002613044809550047
95,4.0,0.76,95,0.002666042186319828,0.0040957811288535595
96,4.0,0.78,52,0.004874661099165678,0.008126388303935528
97,5.0,0.68,47,0.00511982012540102,0.0075453948229551315
98,5.0,0.7,120,0.002349743153899908,0.003924628719687462
99,5.0,0.72,120,0.002152844797819853,0.0035457380581647158
100,5.0,0.74,39,0.006332057528197765,0.009345130994915962
101,5.0,0.76,43,0.0056253038346767426,0.009092391468584538
102,5.0,0.78,120,0.0019181504612788558,0.003552652895450592
103,6.0,0.68,53,0.004390746355056763,0.0064037032425403595
104,6.0,0.7,99,0.0025043413043022156,0.002945333020761609
105,6.0,0.72,120,0.0023544493597000837,0.003138881642371416
106,6.0,0.74,120,0.002076944336295128,0.0033407791052013636
107,6.0,0.76,120,0.002068975940346718,0.00253894180059433
108,6.0,0.78,45,0.005001346115022898,0.008781148120760918
109,7.0,0.68,109,0.002553609199821949,0.003996767569333315
110,7.0,0.7,120,0.002279442036524415,0.0030749074649065733
111,7.0,0.72,57,0.0050379750318825245,0.005837227217853069
112,7.0,0.74,120,0.0021481188014149666,0.003299726638942957
113,7.0,0.76,81,0.0029509584419429302,0.004210735205560923
114,7.0,0.78,60,0.004297427833080292,0.007300073280930519
115,8.0,0.68,63,0.003992211073637009,0.005650268867611885
116,8.0,0.7,89,0.0030381379183381796,0.0036947850603610277
117,8.0,0.72,98,0.0025320386048406363,0.003319572191685438
118,8.0,0.74,100,0.0025703173596411943,0.0039419676177203655
119,8.0,0.76,114,0.0021747611463069916,0.003990313969552517
120,8.0,0.78,33,0.0065247295424342155,0.012062856927514076
121,9.0,0.68,53,0.004606356844305992,0.006910734344273806
122,9.0,0.7,42,0.0058084819465875626,0.008101233281195164
123,9.0,0.72,96,0.0026306011714041233,0.004222378134727478
124,9.0,0.74,120,0.0023235068656504154,0.0029192070942372084
125,9.0,0.76,50,0.005075877998024225,0.0097590871155262
126,9.0,0.78,120,0.0018637132598087192,0.0021060877479612827
