fold,AoA,Mach,MAE,RMSE,R2,model
1,0.0,0.68,0.013656886415766683,0.016970209902727833,0.9980587425417672,Random forest tuned
2,0.0,0.7,0.006396883556566905,0.010281314230644982,0.9993216287258152,Random forest tuned
3,0.0,0.72,0.012275941163856384,0.020918597579322174,0.9973474720610704,Random forest tuned
4,0.0,0.74,0.014581645342505403,0.026013178741959166,0.9961751561946318,Random forest tuned
5,0.0,0.76,0.023833516817623218,0.04971658778352687,0.9872618946799413,Random forest tuned
6,0.0,0.78,0.03550519201159947,0.057705856031613566,0.9844768320594958,Random forest tuned
7,1.0,0.68,0.015133507326784935,0.021434589607114182,0.9976319769762314,Random forest tuned
8,1.0,0.7,0.008613392099736368,0.014774302935279642,0.9989293432973602,Random forest tuned
9,1.0,0.72,0.017992974702342745,0.030527059094035455,0.9956916890127018,Random forest tuned
10,1.0,0.74,0.0245221364331559,0.04978064451038238,0.9893880414086809,Random forest tuned
11,1.0,0.76,0.028311046623109338,0.04390214688739867,0.992217902921046,Random forest tuned
12,1.0,0.78,0.049361287032714,0.07149189210306796,0.9792038593324452,Random forest tuned
13,10.0,0.68,0.04750522050199058,0.11951173103849308,0.9738419406044311,Random forest tuned
14,10.0,0.7,0.021138447757918292,0.06366598895406686,0.9924251422435264,Random forest tuned
15,10.0,0.72,0.02774163416297852,0.07430862585567266,0.9895114235804215,Random forest tuned
16,10.0,0.74,0.040598481774073276,0.11802939855526866,0.9733309538864574,Random forest tuned
17,10.0,0.76,0.029936401915074698,0.07238166286963284,0.9898570908561617,Random forest tuned
18,10.0,0.78,0.03614299036525899,0.08512726981541001,0.9858674221063095,Random forest tuned
19,11.0,0.68,0.01887923528698218,0.05072590700127208,0.9943114627811699,Random forest tuned
20,11.0,0.7,0.01023008435970386,0.030004856316916583,0.9979874006291766,Random forest tuned
21,11.0,0.72,0.01336578153738979,0.04522480043785646,0.9954478412345409,Random forest tuned
22,11.0,0.74,0.019958265425934787,0.06757079888475455,0.9900555545551464,Random forest tuned
23,11.0,0.76,0.03130873241400312,0.10160346697656043,0.9785669539883904,Random forest tuned
24,11.0,0.78,0.045724855530970436,0.12242153064754076,0.9703766394711659,Random forest tuned
25,12.0,0.68,0.017557806313617686,0.047841319247229175,0.9944547209490201,Random forest tuned
26,12.0,0.7,0.0074898163346655946,0.016721657040637602,0.9993235976815585,Random forest tuned
27,12.0,0.72,0.010721711815680268,0.030130160364284453,0.9978175370184809,Random forest tuned
28,12.0,0.74,0.01082086253157704,0.038408022848381546,0.9964989870093083,Random forest tuned
29,12.0,0.76,0.018522612934415445,0.057819704618295525,0.9923579197038525,Random forest tuned
30,12.0,0.78,0.03261137437752653,0.10671877454989,0.9757978849829618,Random forest tuned
31,13.0,0.68,0.015564077988839492,0.03384553045163803,0.9970830286130353,Random forest tuned
32,13.0,0.7,0.005282510500216932,0.012632972534320113,0.9995937057358766,Random forest tuned
33,13.0,0.72,0.005979137349329523,0.018545981758932014,0.9991366492656883,Random forest tuned
34,13.0,0.74,0.0077730954320909375,0.021481011417365525,0.9988690475040095,Random forest tuned
35,13.0,0.76,0.010284251394283855,0.030179079141964073,0.9978391851466066,Random forest tuned
36,13.0,0.78,0.021730687281661065,0.05940433984262563,0.9919712499769086,Random forest tuned
37,14.0,0.68,0.01411699521921274,0.028134296047387018,0.997932722193186,Random forest tuned
38,14.0,0.7,0.0032946866984610097,0.008850540968260668,0.9997965009282139,Random forest tuned
39,14.0,0.72,0.006232081860010706,0.014729445972104113,0.9994439418269466,Random forest tuned
40,14.0,0.74,0.006031088730764185,0.014720247620533703,0.9994598751967079,Random forest tuned
41,14.0,0.76,0.007836524584510132,0.02496501361686859,0.9985022729088238,Random forest tuned
42,14.0,0.78,0.019174709172412843,0.044931595606829834,0.9953695600819616,Random forest tuned
43,15.0,0.68,0.011190426863615531,0.019023480259807747,0.9990554501296007,Random forest tuned
44,15.0,0.7,0.004053356255966033,0.00722256186136799,0.9998649059293749,Random forest tuned
45,15.0,0.72,0.003924815324407872,0.008436864708584608,0.9998183881268787,Random forest tuned
46,15.0,0.74,0.003822014207754408,0.006680186117157372,0.9998886557132701,Random forest tuned
47,15.0,0.76,0.006826756389913781,0.015500342554094326,0.9994207673143696,Random forest tuned
48,15.0,0.78,0.017740948617370186,0.036922156389985444,0.996863051553202,Random forest tuned
49,16.0,0.68,0.009531132898249372,0.01522461187741492,0.9993992151099304,Random forest tuned
50,16.0,0.7,0.004188385524754429,0.005697009898148092,0.9999167573856129,Random forest tuned
51,16.0,0.72,0.0057560346639638155,0.007153033100691806,0.9998709086244163,Random forest tuned
52,16.0,0.74,0.005843410814326933,0.006948757223412042,0.9998809031125424,Random forest tuned
53,16.0,0.76,0.007770582068132464,0.01168132265822242,0.9996742130833162,Random forest tuned
54,16.0,0.78,0.014349031127867605,0.024307648187924,0.9986426346399656,Random forest tuned
55,17.0,0.68,0.009830453254325437,0.01517196468051822,0.999416482775218,Random forest tuned
56,17.0,0.7,0.003197599246883672,0.005216310131591061,0.9999320076664022,Random forest tuned
57,17.0,0.72,0.005054033221146246,0.007681083224019689,0.9998554695059867,Random forest tuned
58,17.0,0.74,0.0044269572463112,0.0064108627758547344,0.9999019252778807,Random forest tuned
59,17.0,0.76,0.005071465558291024,0.008584317784836168,0.9998294127636513,Random forest tuned
60,17.0,0.78,0.013151321476988975,0.019451507666959036,0.9991558439921016,Random forest tuned
61,18.0,0.68,0.009571519215787529,0.014657320615505853,0.999465656274995,Random forest tuned
62,18.0,0.7,0.0035204801290295144,0.0054497457744801196,0.9999273119802667,Random forest tuned
63,18.0,0.72,0.004499462430870055,0.006511066086662707,0.9998983207918328,Random forest tuned
64,18.0,0.74,0.003998487662583687,0.005224676756554194,0.9999361276523472,Random forest tuned
65,18.0,0.76,0.004931042920712133,0.006871551757383467,0.9998928158138188,Random forest tuned
66,18.0,0.78,0.011676542200519282,0.01843584686099653,0.9992582625919639,Random forest tuned
67,19.0,0.68,0.010835648048685856,0.014116187300407819,0.9995146985453525,Random forest tuned
68,19.0,0.7,0.0029196594027969917,0.00478617153071535,0.9999452099199296,Random forest tuned
69,19.0,0.72,0.004841915245137532,0.006046060397078407,0.9999144543093832,Random forest tuned
70,19.0,0.74,0.003170455048659456,0.004782782075910274,0.9999478637045226,Random forest tuned
71,19.0,0.76,0.005001066037211394,0.007595509991100695,0.9998727193190393,Random forest tuned
72,19.0,0.78,0.011438533953109837,0.016517933003111124,0.9994200696305534,Random forest tuned
73,2.0,0.68,0.019682715279753692,0.03189079842311859,0.9965388169947124,Random forest tuned
74,2.0,0.7,0.014025541201997718,0.024501229731515594,0.9980507962896051,Random forest tuned
75,2.0,0.72,0.030785671599923486,0.05588050140386881,0.9904349552728821,Random forest tuned
76,2.0,0.74,0.03465811070192618,0.053642839651981356,0.9914462366264492,Random forest tuned
77,2.0,0.76,0.047813191672142506,0.06819396314839773,0.9854338766186127,Random forest tuned
78,2.0,0.78,0.07041693458982522,0.0842608255728966,0.974364427968865,Random forest tuned
79,20.0,0.68,0.009698106621295203,0.017582248973807377,0.9992705111379784,Random forest tuned
80,20.0,0.7,0.008970839459728206,0.010397299154388497,0.99974974527757,Random forest tuned
81,20.0,0.72,0.008706905898096558,0.012881165217992744,0.9996244535306763,Random forest tuned
82,20.0,0.74,0.010864243140324322,0.011997426280901799,0.9996827720981617,Random forest tuned
83,20.0,0.76,0.009580949024988674,0.010157462500056055,0.9997796010759074,Random forest tuned
84,20.0,0.78,0.013913310315506064,0.015057128031508049,0.9995335224256082,Random forest tuned
85,3.0,0.68,0.05074122360419938,0.09692419154834975,0.9801923326867585,Random forest tuned
86,3.0,0.7,0.05441967119050214,0.10631402573442539,0.9768269605502041,Random forest tuned
87,3.0,0.72,0.0354793091939733,0.05199950428050808,0.9944622208761379,Random forest tuned
88,3.0,0.74,0.031188294659522626,0.04842499559710127,0.9947914211191864,Random forest tuned
89,3.0,0.76,0.04588671723997672,0.06046285973351885,0.9902430322538066,Random forest tuned
90,3.0,0.78,0.08238240187115684,0.0982935747279402,0.9687249646562225,Random forest tuned
91,4.0,0.68,0.055688980578469986,0.13738359140108888,0.972681472924882,Random forest tuned
92,4.0,0.7,0.051454430798691435,0.1008428597589501,0.9849067248855539,Random forest tuned
93,4.0,0.72,0.043361704284003856,0.06249743496382314,0.9936379966072733,Random forest tuned
94,4.0,0.74,0.015219078859821919,0.02114817209833807,0.9991247934928809,Random forest tuned
95,4.0,0.76,0.02997007554840007,0.03820887709292542,0.9965033276034411,Random forest tuned
96,4.0,0.78,0.06656372736443279,0.07864005988618228,0.9823720596883669,Random forest tuned
97,5.0,0.68,0.06097175246894441,0.09202884814983883,0.9903394736942495,Random forest tuned
98,5.0,0.7,0.028430922481343438,0.051855605933916804,0.9965990956162933,Random forest tuned
99,5.0,0.72,0.02213774396301024,0.03187356752488599,0.9984585443014846,Random forest tuned
100,5.0,0.74,0.03469069189347857,0.051483131251765096,0.9950906375326191,Random forest tuned
101,5.0,0.76,0.021624017700775825,0.030965667399856536,0.9978822173282238,Random forest tuned
102,5.0,0.78,0.052423170835883846,0.06312797217864403,0.9897916215417387,Random forest tuned
103,6.0,0.68,0.06001333018622962,0.07101030094992719,0.9948259675475916,Random forest tuned
104,6.0,0.7,0.015060494656010906,0.020180964494503826,0.9994979571703337,Random forest tuned
105,6.0,0.72,0.01745894259587476,0.028183591917356858,0.9988049939084369,Random forest tuned
106,6.0,0.74,0.03161646906283951,0.048233457279281675,0.9958324805771984,Random forest tuned
107,6.0,0.76,0.017885873411417678,0.02366700371569246,0.9988347741593961,Random forest tuned
108,6.0,0.78,0.04788000199332181,0.06240587549261699,0.9908229995172225,Random forest tuned
109,7.0,0.68,0.04652670654509918,0.05603351927406949,0.9967037834669393,Random forest tuned
110,7.0,0.7,0.025522643049241525,0.05250862557555032,0.9965133632147727,Random forest tuned
111,7.0,0.72,0.01763723055248133,0.03806332782786083,0.9978051463096098,Random forest tuned
112,7.0,0.74,0.02720567961240476,0.051053144827994376,0.9954183272869662,Random forest tuned
113,7.0,0.76,0.015505466409154884,0.027806991035397313,0.9984599876703061,Random forest tuned
114,7.0,0.78,0.04387068278531526,0.06888703212938439,0.9895705450583657,Random forest tuned
115,8.0,0.68,0.03199918363857864,0.055063999420911995,0.9964231602981535,Random forest tuned
116,8.0,0.7,0.022344880899075648,0.04950655775730154,0.9966551286577514,Random forest tuned
117,8.0,0.72,0.022857858667871142,0.048352875834216644,0.9963691750493537,Random forest tuned
118,8.0,0.74,0.028734575088919304,0.06063937881021774,0.993596248682874,Random forest tuned
119,8.0,0.76,0.01810690875123643,0.046207924385110635,0.995904342831196,Random forest tuned
120,8.0,0.78,0.04019715862782108,0.07379593803043753,0.9886740863364495,Random forest tuned
121,9.0,0.68,0.05853736452482453,0.13965194268674289,0.9727926688470145,Random forest tuned
