fold,model,target,target_label,MAE,RMSE,R2
1,Mean baseline,cl,CL,0.71116571570204,0.841826126019498,-0.002874117221543182
1,Mean baseline,cd,CD,0.05338571851128473,0.06990846825679982,-0.007655517146077928
1,Mean baseline,cl_cd,CL/CD,14.783825158453611,17.867079774712963,-0.10008020030270703
1,Linear regression,cl,CL,0.21774104257740054,0.28065614518342086,0.888531865020159
1,Linear regression,cd,CD,0.038121662665097096,0.05764701927648081,0.31481755600442196
1,Linear regression,cl_cd,CL/CD,12.393163696737778,17.21340154126036,-0.02105842862678875
1,Polynomial ridge d2,cl,CL,0.13496000666012115,0.19279038598737253,0.947401619948814
1,Polynomial ridge d2,cd,CD,0.025058148028732113,0.03775010945833942,0.7061748649276839
1,Polynomial ridge d2,cl_cd,CL/CD,7.879883266131586,10.96102005895374,0.5859820790128609
1,Random forest,cl,CL,0.13078347834526025,0.22678594490386011,0.9272163394120478
1,Random forest,cd,CD,0.009212821764720103,0.017431171890043753,0.9373522201145214
1,Random forest,cl_cd,CL/CD,3.17289330468885,5.3207557589202095,0.9024417856390525
1,Gradient boosting,cl,CL,0.07700123399263654,0.13734124014606786,0.9733066210267335
1,Gradient boosting,cd,CD,0.00837298596261895,0.01684056679591043,0.9415255800295237
1,Gradient boosting,cl_cd,CL/CD,3.619746245935931,5.4105180501995385,0.8991223641505174
2,Mean baseline,cl,CL,0.6105822406308593,0.7467900425775752,-0.008844733267263205
2,Mean baseline,cd,CD,0.06755481738064235,0.10985884374450745,-0.0178977022976039
2,Mean baseline,cl_cd,CL/CD,14.408747470137065,17.680612997503136,-0.004458124722344525
2,Linear regression,cl,CL,0.2614348522994707,0.3563757475647151,0.7702563182513553
2,Linear regression,cd,CD,0.04644750975845289,0.07972786478427396,0.46388945085580735
2,Linear regression,cl_cd,CL/CD,13.350276758926123,17.839213314464743,-0.02255952132815109
2,Polynomial ridge d2,cl,CL,0.13954670843583453,0.19664003992946827,0.9300526603503931
2,Polynomial ridge d2,cd,CD,0.025113675965043356,0.03966713785185877,0.8672923931920629
2,Polynomial ridge d2,cl_cd,CL/CD,9.033997820216227,11.869292042497975,0.5473246656164892
2,Random forest,cl,CL,0.09638749475260018,0.14088323242864542,0.9640957458878433
2,Random forest,cd,CD,0.013644910858522334,0.03238822783364489,0.9115274677597363
2,Random forest,cl_cd,CL/CD,2.7249637181481448,4.43197938145739,0.9368849890088926
2,Gradient boosting,cl,CL,0.0739064428058606,0.10248650513026908,0.9809996911223188
2,Gradient boosting,cd,CD,0.009764396931695592,0.018182349576135237,0.9721173470587197
2,Gradient boosting,cl_cd,CL/CD,3.620015740737528,5.367484252404959,0.9074281895377481
3,Mean baseline,cl,CL,0.6069011924607205,0.7130364716623293,-0.0025857583687203256
3,Mean baseline,cd,CD,0.04782687501302083,0.06229631908997966,-0.15787936689910276
3,Mean baseline,cl_cd,CL/CD,14.182898739456066,17.008983019883438,-0.08824152899463478
3,Linear regression,cl,CL,0.2143835760053584,0.2723409566314535,0.8537405420641362
3,Linear regression,cd,CD,0.03313119113915183,0.045434166758824744,0.38410925500668947
3,Linear regression,cl_cd,CL/CD,13.454911227646244,16.463158282784104,-0.019518022490087716
3,Polynomial ridge d2,cl,CL,0.11610348616211484,0.15059557563561454,0.9552778712086135
3,Polynomial ridge d2,cd,CD,0.021032191847962307,0.0286599729794008,0.7549300310295421
3,Polynomial ridge d2,cl_cd,CL/CD,8.641484403879657,11.255926911700916,0.5234251400588039
3,Random forest,cl,CL,0.08474044713678502,0.12225730506851573,0.9705254163593314
3,Random forest,cd,CD,0.006866773151606419,0.014168020520793315,0.9401096436733578
3,Random forest,cl_cd,CL/CD,2.742596437260321,4.170108470932705,0.934587115036122
3,Gradient boosting,cl,CL,0.07263749889217476,0.10517451429862316,0.9781868155147118
3,Gradient boosting,cd,CD,0.006775724482584289,0.01546933517271372,0.9286026913251547
3,Gradient boosting,cl_cd,CL/CD,4.037088144365839,5.456455282719452,0.8880072778821684
4,Mean baseline,cl,CL,0.5838882910086806,0.690055808935042,-0.008000699792700905
4,Mean baseline,cd,CD,0.06246113714735243,0.09212561984796487,-0.0010122149322784324
4,Mean baseline,cl_cd,CL/CD,14.52110737691216,17.69336150236349,-0.000976075309806923
4,Linear regression,cl,CL,0.22047040050779176,0.30017555740906443,0.8092594402205546
4,Linear regression,cd,CD,0.032152634194635175,0.05474339761035558,0.6465385722912131
4,Linear regression,cl_cd,CL/CD,12.555835943915937,15.729647690420581,0.20888250896906124
4,Polynomial ridge d2,cl,CL,0.12126948961510046,0.1743407324176313,0.9356586552340386
4,Polynomial ridge d2,cd,CD,0.021795692978736902,0.032031673042974045,0.8789853979897942
4,Polynomial ridge d2,cl_cd,CL/CD,8.529055093600052,11.296652546000217,0.5919601886671517
4,Random forest,cl,CL,0.08214249983917493,0.11006052466614702,0.974357783721798
4,Random forest,cd,CD,0.007475252487580401,0.015600221917967647,0.9712961544908824
4,Random forest,cl_cd,CL/CD,3.0320997504417413,4.78159484674963,0.9268947536177944
4,Gradient boosting,cl,CL,0.0675076979602268,0.09240017195532048,0.9819266790818529
4,Gradient boosting,cd,CD,0.0072596181271994,0.013608012028080626,0.9781592322792867
4,Gradient boosting,cl_cd,CL/CD,3.820239420684112,5.68257889422296,0.8967490767963244
5,Mean baseline,cl,CL,0.6099578407024739,0.7150784035165434,-0.030258396175350644
5,Mean baseline,cd,CD,0.05769285283854166,0.08371589207020098,-0.003981923125530917
5,Mean baseline,cl_cd,CL/CD,13.493056660781576,15.99109097571156,-0.005391819770691031
5,Linear regression,cl,CL,0.20364770617525751,0.2635630357443178,0.8600387407952108
5,Linear regression,cd,CD,0.03635177756887734,0.052564142130763214,0.6041877451475277
5,Linear regression,cl_cd,CL/CD,11.476076940903475,14.37195258668276,0.18789775548535037
5,Polynomial ridge d2,cl,CL,0.1149180320174963,0.15007575810352813,0.9546204765860653
5,Polynomial ridge d2,cd,CD,0.01995121760761733,0.02651521044936357,0.8992835913271192
5,Polynomial ridge d2,cl_cd,CL/CD,8.190823076822427,10.633354743152896,0.5554508698745763
5,Random forest,cl,CL,0.09613948930481364,0.13839088606575126,0.9614118623793652
5,Random forest,cd,CD,0.008699207712774054,0.016837694819966584,0.9593860395077033
5,Random forest,cl_cd,CL/CD,2.451178244540143,4.461519797954923,0.9217391053593158
5,Gradient boosting,cl,CL,0.05635169130626885,0.07690511289027371,0.9880834849230427
5,Gradient boosting,cd,CD,0.007920553510653879,0.014629826472970203,0.9693388510914529
5,Gradient boosting,cl_cd,CL/CD,3.7173298395364895,5.59144863629843,0.8770785035375173
