model,target,target_label,MAE_mean,RMSE_mean,R2_mean,RMSE_std
Gradient boosting,cd,CD,0.008018655802950423,0.015746018009162043,0.9579487403568276,0.0018046644468843601
Random forest,cd,CD,0.009179793195040661,0.019285067396483238,0.9439343051092403,0.007431043490782862
Polynomial ridge d2,cd,CD,0.022590185285618403,0.03292482075638732,0.8213332556932406,0.005674768597921427
Linear regression,cd,CD,0.037240955065242866,0.058023318112139656,0.4827085158611319,0.012944846076208343
Mean baseline,cd,CD,0.057784280178168404,0.08358102860189057,-0.037685344880118786,0.018731854965430533
Gradient boosting,cl,CL,0.06948091299143351,0.10286150888411086,0.9805006583337319,0.022234638253670173
Random forest,cl,CL,0.09803868187572681,0.14767557862658393,0.9595214295520771,0.04596676095415577
Polynomial ridge d2,cl,CL,0.12535954457813345,0.17288849841472295,0.9446022566655848,0.022247052408249285
Linear regression,cl,CL,0.22353551551305578,0.29462228850659433,0.8363653812702833,0.037082733828396164
Mean baseline,cl,CL,0.6244990561009549,0.7413573705421976,-0.010512740965115652,0.05968247732214512
Random forest,cl_cd,CL/CD,2.82474629101584,4.633191651202972,0.9245095497322355,0.44135347093131383
Gradient boosting,cl_cd,CL/CD,3.76288387825198,5.501697023169068,0.8936770823808551,0.13147917264927061
Polynomial ridge d2,cl_cd,CL/CD,8.45504873212999,11.203249260461149,0.5608285886459764,0.4578664770197501
Linear regression,cl_cd,CL/CD,12.646052913625912,16.32347468312251,0.06672885840187681,1.3481481659619945
Mean baseline,cl_cd,CL/CD,14.277927081148096,17.24822565403492,-0.03982954982003686,0.7755175366131011
