fold,model,target,target_label,MAE,RMSE,R2
1,Polynomial ridge tuned,cl,CL,0.07420715438971513,0.1189911180927507,0.9799630915527131
1,Polynomial ridge tuned,cd,CD,0.013862015772627976,0.01911961221795209,0.9246278899701925
1,Polynomial ridge tuned,cl_cd,CL/CD,7.122606745937612,13.063733898720145,0.4118990971905434
1,Random forest tuned,cl,CL,0.10853371343428468,0.1907975761047083,0.9484833837903739
1,Random forest tuned,cd,CD,0.007968349126751291,0.017085766815026916,0.9398103990889167
1,Random forest tuned,cl_cd,CL/CD,2.8344285538186553,4.844291075850509,0.9191318224340688
1,Gradient boosting tuned,cl,CL,0.07349973107764464,0.12916649788331266,0.9763897061469213
1,Gradient boosting tuned,cd,CD,0.007466030125708626,0.01607418356921707,0.9467266065790919
1,Gradient boosting tuned,cl_cd,CL/CD,2.7604853193737107,4.535366155167536,0.9291170302238584
2,Polynomial ridge tuned,cl,CL,0.08032385798588441,0.13524327140734668,0.9669129057398844
2,Polynomial ridge tuned,cd,CD,0.0134034860938356,0.020196515282868584,0.9655977401818039
2,Polynomial ridge tuned,cl_cd,CL/CD,7.617172918149673,10.91564851312836,0.6171432703952677
2,Random forest tuned,cl,CL,0.08281589414056605,0.12141077577134073,0.9733349893114095
2,Random forest tuned,cd,CD,0.01216839707698829,0.029024649613747854,0.9289493496208204
2,Random forest tuned,cl_cd,CL/CD,2.6968948527181564,4.420941647306698,0.9371989702627382
2,Gradient boosting tuned,cl,CL,0.06806785471296307,0.09184165709566784,0.9847416800945044
2,Gradient boosting tuned,cd,CD,0.009608715527848402,0.019426834059849508,0.9681698894112918
2,Gradient boosting tuned,cl_cd,CL/CD,2.600798548972817,4.2823285656703804,0.941075328320321
3,Polynomial ridge tuned,cl,CL,0.068867757063612,0.09430893656731414,0.9824610440339125
3,Polynomial ridge tuned,cd,CD,0.012311717582465347,0.019600923251054673,0.8853717667071798
3,Polynomial ridge tuned,cl_cd,CL/CD,6.500162089266277,9.878758806691824,0.6329093150412791
3,Random forest tuned,cl,CL,0.06477087185660622,0.10336423860336466,0.9789312552309513
3,Random forest tuned,cd,CD,0.006343709549652371,0.013876482287988065,0.9425490368486644
3,Random forest tuned,cl_cd,CL/CD,2.64599933027969,3.873484080017256,0.9435619304005629
3,Gradient boosting tuned,cl,CL,0.06554755757520214,0.10685001618178716,0.9774862817496952
3,Gradient boosting tuned,cd,CD,0.005549748882214506,0.013373972991324585,0.9466346421269493
3,Gradient boosting tuned,cl_cd,CL/CD,2.8777135740067545,3.9413987300296394,0.941565498333981
4,Polynomial ridge tuned,cl,CL,0.0785215114639203,0.13196457632811176,0.9631356027894707
4,Polynomial ridge tuned,cd,CD,0.01464594480657373,0.025858923785682837,0.9211322550211196
4,Polynomial ridge tuned,cl_cd,CL/CD,6.862585947186655,10.624113789941287,0.6390987196998352
4,Random forest tuned,cl,CL,0.07085811516762859,0.10306512161792843,0.9775138117869637
4,Random forest tuned,cd,CD,0.007021047306116464,0.015488440079987151,0.9717060298484727
4,Random forest tuned,cl_cd,CL/CD,3.1147610903359393,5.115593137896915,0.9163251412641432
4,Gradient boosting tuned,cl,CL,0.060876471888964244,0.08847368518166288,0.9834300714463924
4,Gradient boosting tuned,cd,CD,0.005960092249127899,0.011155358828478163,0.98532271861819
4,Gradient boosting tuned,cl_cd,CL/CD,2.611247968955471,4.422327096005486,0.93746765441623
5,Polynomial ridge tuned,cl,CL,0.05843201058955332,0.08643146579726688,0.9849484025278596
5,Polynomial ridge tuned,cd,CD,0.012071026853000098,0.01791449086342445,0.9540252883297607
5,Polynomial ridge tuned,cl_cd,CL/CD,5.680705773480882,8.49542394274009,0.7162412440345323
5,Random forest tuned,cl,CL,0.07457383439416626,0.10748954332346086,0.9767206272496314
5,Random forest tuned,cd,CD,0.006800359052582655,0.01326887960254793,0.974778054586145
5,Random forest tuned,cl_cd,CL/CD,2.3466807491402304,4.0271218466165575,0.9362370062816855
5,Gradient boosting tuned,cl,CL,0.05328464539867724,0.07081822841546981,0.9898951713066712
5,Gradient boosting tuned,cd,CD,0.0066441459322822876,0.011881832831242157,0.9797755392716301
5,Gradient boosting tuned,cl_cd,CL/CD,2.417169126713468,3.8573397232044506,0.9415001249324999
